t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5288","5776","5776"
"2025-10-30","Arhar (Tur/Red Gram)(Whole)","1069","Tanduru","36","Telangana","537","Rangareddy","Local","6435","7245","7155"
"2025-10-30","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-30","Arhar (Tur/Red Gram)(Whole)","396","Zaheerabad","36","Telangana","535","Medak","Local","6811","6967","6811"
"2025-10-29","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-29","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5912","6012","6012"
"2025-10-29","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","4694","4694","4694"
"2025-10-28","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5626","6376","6376"
"2025-10-28","Arhar (Tur/Red Gram)(Whole)","1069","Tanduru","36","Telangana","537","Rangareddy","Local","6615","7335","7011"
"2025-10-28","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","6229","6229","6229"
"2025-10-28","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-28","Arhar (Tur/Red Gram)(Whole)","396","Zaheerabad","36","Telangana","535","Medak","Local","6912","6912","6912"
"2025-10-27","Arhar (Tur/Red Gram)(Whole)","396","Zaheerabad","36","Telangana","535","Medak","Local","6464","6464","6464"
"2025-10-27","Arhar (Tur/Red Gram)(Whole)","1069","Tanduru","36","Telangana","537","Rangareddy","Local","7101","7254","7101"
"2025-10-27","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5523","6152","5902"
"2025-10-27","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-27","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5266","6369","5686"
"2025-10-26","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-25","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-25","Arhar (Tur/Red Gram)(Whole)","1069","Tanduru","36","Telangana","537","Rangareddy","Local","7065","7461","7425"
"2025-10-25","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5945","6296","5945"
"2025-10-24","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5686","6291","5945"
"2025-10-24","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5952","6122","6122"
"2025-10-24","Arhar (Tur/Red Gram)(Whole)","396","Zaheerabad","36","Telangana","535","Medak","Local","6712","6712","6712"
"2025-10-23","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5322","5852","5322"
"2025-10-23","Arhar (Tur/Red Gram)(Whole)","882","Bhainsa","36","Telangana","532","Adilabad","F.A.Q. (Whole)","5222","6439","6304"
"2025-10-23","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","4572","6422","6356"
"2025-10-22","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5852","6102","6102"
"2025-10-22","Arhar (Tur/Red Gram)(Whole)","882","Bhainsa","36","Telangana","532","Adilabad","F.A.Q. (Whole)","5555","6569","6569"
"2025-10-22","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","6189","6349","6349"
"2025-10-21","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-21","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5643","5643","5643"
"2025-10-20","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-19","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-18","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-18","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","3794","6134","5643"
"2025-10-17","Arhar (Tur/Red Gram)(Whole)","2044","Tirumalagiri","36","Telangana","539","Nalgonda","Local","5450","5450","5450"
"2025-10-17","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5552","5552","5552"
"2025-10-17","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-17","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","5639","6192","5639"
"2025-10-16","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-16","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5152","5869","5356"
"2025-10-16","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","4793","6282","6192"
"2025-10-16","Arhar (Tur/Red Gram)(Whole)","396","Zaheerabad","36","Telangana","535","Medak","Local","5813","5813","5813"
"2025-10-16","Arhar (Tur/Red Gram)(Whole)","898","Choppadandi","36","Telangana","534","Karimnagar","777 New Ind","4852","4852","4852"
"2025-10-15","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","4095","6273","5796"
"2025-10-15","Arhar (Tur/Red Gram)(Whole)","1069","Tanduru","36","Telangana","537","Rangareddy","Local","6561","7000","6561"
"2025-10-15","Arhar (Tur/Red Gram)(Whole)","2209","Aler","36","Telangana","539","Nalgonda","777 New Ind","7550","7550","7550"
"2025-10-14","Arhar (Tur/Red Gram)(Whole)","13","Suryapeta","36","Telangana","539","Nalgonda","Local","4689","6159","5736"
"2025-10-14","Arhar (Tur/Red Gram)(Whole)","19","Warangal","36","Telangana","540","Warangal","Local","5122","5633","5633"
